Id,Temperature (K),Pressure (kPa),Phase,N Components,Density Value (g / ml),Density Uncertainty (g / ml),Source,Component 1,Mole Fraction 1,Exact Amount 1,Role 1,Component 2,Mole Fraction 2,Exact Amount 2,Role 2
,299.15,101.3,Liquid,2,0.8854250149423855,,10.1021/je034290l + 10.1016/j.jct.2010.10.018 + 10.1021/je034290l,CC(C)(C)O,0.2778,0,Solvent,COC=O,0.7222,0,Solvent
,299.15,101.3,Liquid,2,0.8409570497216361,,10.1021/je034290l + 10.1016/j.jct.2010.10.018 + 10.1021/je034290l,CC(C)(C)O,0.5024,0,Solvent,COC=O,0.4976,0,Solvent
,303.15,101.3,Liquid,2,0.8506332539742643,,10.1021/je0497350 + 10.1016/j.jct.2008.09.021 + 10.1021/je050001c,CC(C)(C)O,0.2394,0,Solvent,CCCCOC(C)=O,0.7606,0,Solvent
,303.15,101.3,Liquid,2,0.8018309581237103,,10.1021/je0497350 + 10.1016/j.jct.2008.09.021 + 10.1021/je050001c,CC(C)(C)O,0.7538,0,Solvent,CCCCOC(C)=O,0.2462,0,Solvent
,303.15,101.3,Liquid,2,0.8270462316591541,,10.1021/je0497350 + 10.1016/j.jct.2008.09.021 + 10.1021/je050001c,CC(C)(C)O,0.4973,0,Solvent,CCCCOC(C)=O,0.5027,0,Solvent
,298.15,101.0,Liquid,2,0.7765500000000002,0.00025,10.1016/j.jct.2006.06.008,C1CCCCC1,0.7036,0,Solvent,CCCO,0.2964,0,Solvent
,298.15,101.0,Liquid,2,0.7807100000000002,0.000255,10.1016/j.jct.2006.06.008,C1CCCCC1,0.5071,0,Solvent,CCCO,0.4929,0,Solvent
,298.15,101.0,Liquid,2,0.7867800000000001,0.000265,10.1016/j.jct.2006.06.008,C1CCCCC1,0.2993,0,Solvent,CCCO,0.7007,0,Solvent
,298.15,101.0,Liquid,2,0.7336500000000001,7.000000000000002e-05,10.1016/j.jct.2011.06.021,CC(C)CC(C)(C)C,0.26117,0,Solvent,CCO,0.73883,0,Solvent
,298.15,101.0,Liquid,2,0.7110500000000001,7.500000000000002e-05,10.1016/j.jct.2011.06.021,CC(C)CC(C)(C)C,0.49374,0,Solvent,CCO,0.50626,0,Solvent
,298.15,101.0,Liquid,2,0.6967900000000001,7.500000000000002e-05,10.1016/j.jct.2011.06.021,CC(C)CC(C)(C)C,0.73596,0,Solvent,CCO,0.26404,0,Solvent
,298.15,100.0,Liquid,2,0.8956100000000002,7.500000000000002e-05,10.1016/j.jct.2015.02.019,CO,0.5054,0,Solvent,COC=O,0.4946,0,Solvent
,298.15,100.0,Liquid,2,0.9321000000000004,8.000000000000002e-05,10.1016/j.jct.2015.02.019,CO,0.2729,0,Solvent,COC=O,0.7271,0,Solvent
,298.15,100.0,Liquid,2,0.8481400000000002,8.000000000000002e-05,10.1016/j.jct.2015.02.019,CO,0.7501,0,Solvent,COC=O,0.2499,0,Solvent
,298.15,101.0,Liquid,2,0.7097700000000001,0.000285,10.1016/j.fluid.2012.06.031,CC(C)CC(C)(C)C,0.6999,0,Solvent,CCCCO,0.3001,0,Solvent
,298.15,101.0,Liquid,2,0.7294000000000002,0.000285,10.1016/j.fluid.2012.06.031,CC(C)CC(C)(C)C,0.5,0,Solvent,CCCCO,0.5,0,Solvent
,298.15,101.0,Liquid,2,0.7696800000000001,0.000295,10.1016/j.fluid.2012.06.031,CC(C)CC(C)(C)C,0.2,0,Solvent,CCCCO,0.8,0,Solvent
,298.15,101.0,Liquid,2,0.9962350000000002,9.150000000000002e-05,10.1021/je100100n,CCOC(=O)CC(=O)OCC,0.5004,0,Solvent,CO,0.4996,0,Solvent
,298.15,101.0,Liquid,2,1.0336070000000002,0.0001155,10.1021/je100100n,CCOC(=O)CC(=O)OCC,0.7978,0,Solvent,CO,0.2022,0,Solvent
,298.15,101.0,Liquid,2,0.9355040000000002,0.0001385,10.1021/je100100n,CCOC(=O)CC(=O)OCC,0.2501,0,Solvent,CO,0.7499,0,Solvent
,298.15,101.0,Liquid,2,1.0158560000000003,0.000102,10.1021/je100100n,CCCCO,0.2002,0,Solvent,CCOC(=O)CC(=O)OCC,0.7998,0,Solvent
,298.15,101.0,Liquid,2,0.954786,0.000122,10.1021/je100100n,CCCCO,0.5,0,Solvent,CCOC(=O)CC(=O)OCC,0.5,0,Solvent
,298.15,101.0,Liquid,2,0.9041690000000002,0.00016,10.1021/je100100n,CCCCO,0.6999,0,Solvent,CCOC(=O)CC(=O)OCC,0.3001,0,Solvent
,298.15,101.0,Liquid,2,1.0176930000000002,0.000103,10.1021/je100100n,CC(C)O,0.2,0,Solvent,CCOC(=O)CC(=O)OCC,0.8,0,Solvent
,298.15,101.0,Liquid,2,0.9563730000000004,0.0001215,10.1021/je100100n,CC(C)O,0.5001,0,Solvent,CCOC(=O)CC(=O)OCC,0.4999,0,Solvent
,298.15,101.0,Liquid,2,0.9013080000000002,0.000163,10.1021/je100100n,CC(C)O,0.7,0,Solvent,CCOC(=O)CC(=O)OCC,0.3,0,Solvent
,298.15,101.0,Liquid,2,1.0145710000000003,0.000101,10.1021/je100100n,CC(C)CO,0.1997,0,Solvent,CCOC(=O)CC(=O)OCC,0.8003,0,Solvent
,298.15,101.0,Liquid,2,0.9511160000000002,0.000125,10.1021/je100100n,CC(C)CO,0.4999,0,Solvent,CCOC(=O)CC(=O)OCC,0.5001,0,Solvent
,298.15,101.0,Liquid,2,0.8987460000000002,0.000164,10.1021/je100100n,CC(C)CO,0.7,0,Solvent,CCOC(=O)CC(=O)OCC,0.3,0,Solvent
,298.15,101.0,Liquid,2,1.0189280000000005,0.0001035,10.1021/je100100n,CCO,0.2503,0,Solvent,CCOC(=O)CC(=O)OCC,0.7497,0,Solvent
,298.15,101.0,Liquid,2,0.9755770000000002,0.000107,10.1021/je100100n,CCO,0.5001,0,Solvent,CCOC(=O)CC(=O)OCC,0.4999,0,Solvent
,298.15,101.0,Liquid,2,0.9243090000000002,0.000146,10.1021/je100100n,CCO,0.7,0,Solvent,CCOC(=O)CC(=O)OCC,0.3,0,Solvent
,298.15,101.0,Liquid,2,0.7612980000000001,0.0001015,10.1016/j.tca.2009.07.002,CCCCCCC,0.2498,0,Solvent,CCCCO,0.7502,0,Solvent
,298.15,101.0,Liquid,2,0.7268920000000002,0.000108,10.1016/j.tca.2009.07.002,CCCCCCC,0.5001,0,Solvent,CCCCO,0.4999,0,Solvent
,298.15,101.0,Liquid,2,0.7000160000000001,0.000113,10.1016/j.tca.2009.07.002,CCCCCCC,0.7503,0,Solvent,CCCCO,0.2497,0,Solvent
,298.15,101.3,Liquid,2,0.8785100000000002,0.000315,10.1021/je800899w,CCO,0.2071,0,Solvent,CCOC(C)=O,0.7929,0,Solvent
,298.15,101.3,Liquid,2,0.8520500000000002,0.00036,10.1021/je800899w,CCO,0.4986,0,Solvent,CCOC(C)=O,0.5014,0,Solvent
,298.15,101.3,Liquid,2,0.8272700000000002,0.000395,10.1021/je800899w,CCO,0.7164,0,Solvent,CCOC(C)=O,0.2836,0,Solvent
,298.15,101.0,Liquid,2,0.7046500000000001,0.00028,10.1016/j.fluid.2012.06.031,CC(C)CC(C)(C)C,0.7,0,Solvent,CCCO,0.3,0,Solvent
,298.15,101.0,Liquid,2,0.7214400000000002,0.00028,10.1016/j.fluid.2012.06.031,CC(C)CC(C)(C)C,0.5,0,Solvent,CCCO,0.5,0,Solvent
,298.15,101.0,Liquid,2,0.7589500000000002,0.00029,10.1016/j.fluid.2012.06.031,CC(C)CC(C)(C)C,0.2001,0,Solvent,CCCO,0.7999,0,Solvent
,298.15,101.0,Liquid,2,0.7497500000000001,0.00017,10.1021/je900496t,CC(C)CC(C)(C)C,0.2,0,Solvent,CCCCOCCCC,0.8,0,Solvent
,298.15,101.0,Liquid,2,0.7348100000000001,0.000175,10.1021/je900496t,CC(C)CC(C)(C)C,0.3997,0,Solvent,CCCCOCCCC,0.6003,0,Solvent
,298.15,101.0,Liquid,2,0.7117300000000002,0.000185,10.1021/je900496t,CC(C)CC(C)(C)C,0.7,0,Solvent,CCCCOCCCC,0.3,0,Solvent
,298.15,101.3,Liquid,2,0.8668600000000002,0.000195,10.1021/je0342825,CC(=O)O,0.2971,0,Solvent,CCO,0.7029,0,Solvent
,298.15,101.3,Liquid,2,0.9199600000000002,0.0002,10.1021/je0342825,CC(=O)O,0.4961,0,Solvent,CCO,0.5039,0,Solvent
,298.15,101.3,Liquid,2,0.97355,0.00021,10.1021/je0342825,CC(=O)O,0.7031,0,Solvent,CCO,0.2969,0,Solvent
,298.15,101.3,Liquid,2,0.8442800000000001,0.00022,10.1021/je034037l,C1COCCO1,0.2254,0,Solvent,CCCC(C)=O,0.7746,0,Solvent
,298.15,101.3,Liquid,2,0.90478,0.00023,10.1021/je034037l,C1COCCO1,0.5122,0,Solvent,CCCC(C)=O,0.4878,0,Solvent
,298.15,101.3,Liquid,2,0.9692000000000004,0.000245,10.1021/je034037l,C1COCCO1,0.7823,0,Solvent,CCCC(C)=O,0.2177,0,Solvent
,298.15,101.0,Liquid,2,0.8183900000000002,0.000215,10.1021/je025649t,C1CCOCC1,0.2361,0,Solvent,CCCC(C)=O,0.7639,0,Solvent
,298.15,101.0,Liquid,2,0.8386000000000002,0.00022,10.1021/je025649t,C1CCOCC1,0.5046,0,Solvent,CCCC(C)=O,0.4954,0,Solvent
,298.15,101.0,Liquid,2,0.8602600000000002,0.000225,10.1021/je025649t,C1CCOCC1,0.7776,0,Solvent,CCCC(C)=O,0.2224,0,Solvent
,298.15,101.0,Liquid,2,0.8972200000000002,0.00023,10.1021/je025649t,C1CCOCC1,0.708,0,Solvent,O=C1CCCC1,0.292,0,Solvent
,298.15,101.0,Liquid,2,0.9073000000000002,0.000235,10.1021/je025649t,C1CCOCC1,0.5498,0,Solvent,O=C1CCCC1,0.4502,0,Solvent
,298.15,101.0,Liquid,2,0.9281000000000004,0.00024,10.1021/je025649t,C1CCOCC1,0.2354,0,Solvent,O=C1CCCC1,0.7646,0,Solvent
,298.15,101.0,Liquid,2,0.7410000000000002,0.0003,10.1016/j.jct.2007.02.008,CCCCCCC,0.1998,0,Solvent,CCO,0.8002,0,Solvent
,298.17,101.0,Liquid,2,0.6875000000000001,0.00032,10.1016/j.jct.2004.12.002,CCCCCCC,0.7957,0,Solvent,CCO,0.2043,0,Solvent
,298.15,101.0,Liquid,2,0.7062000000000002,0.00035,10.1016/j.jct.2007.02.008,CCCCCCC,0.502,0,Solvent,CCO,0.498,0,Solvent
,298.15,101.3,Liquid,2,0.9633500000000004,0.000245,10.1021/je034037l,C1COCCO1,0.2436,0,Solvent,O=C1CCCC1,0.7564,0,Solvent
,298.15,101.3,Liquid,2,0.9849200000000002,0.00025,10.1021/je034037l,C1COCCO1,0.5063,0,Solvent,O=C1CCCC1,0.4937,0,Solvent
,298.15,101.3,Liquid,2,1.0081000000000002,0.000255,10.1021/je034037l,C1COCCO1,0.7778,0,Solvent,O=C1CCCC1,0.2222,0,Solvent
,298.15,101.0,Liquid,2,1.0062000000000002,0.00025,10.1016/j.jct.2012.05.005,C1COCCO1,0.7978,0,Solvent,O=C1CCCCC1,0.2022,0,Solvent
,298.15,101.0,Liquid,2,0.9762000000000004,0.00025,10.1016/j.jct.2012.05.005,C1COCCO1,0.4594,0,Solvent,O=C1CCCCC1,0.5406,0,Solvent
,298.15,101.0,Liquid,2,0.9614000000000004,0.00025,10.1016/j.jct.2012.05.005,C1COCCO1,0.272,0,Solvent,O=C1CCCCC1,0.728,0,Solvent
,298.15,101.0,Liquid,2,0.7314400000000002,0.000275,10.1021/je700428f,CCCCCCCCCC,0.2027,0,Solvent,COC(C)(C)C,0.7973,0,Solvent
,298.15,101.0,Liquid,2,0.7281900000000002,0.00028,10.1021/je700428f,CCCCCCCCCC,0.4995,0,Solvent,COC(C)(C)C,0.5005,0,Solvent
,298.15,101.0,Liquid,2,0.7266200000000002,0.00028,10.1021/je700428f,CCCCCCCCCC,0.7959,0,Solvent,COC(C)(C)C,0.2041,0,Solvent
,298.15,100.0,Liquid,2,0.9994100000000002,0.00051,10.1021/acs.jced.6b00606,C1COCCO1,0.7489,0,Solvent,O=C1CCCCCC1,0.2511,0,Solvent
,308.15,100.0,Liquid,2,0.9737000000000002,0.00051,10.1021/acs.jced.6b00606,C1COCCO1,0.5723,0,Solvent,O=C1CCCCCC1,0.4277,0,Solvent
,298.15,100.0,Liquid,2,0.9616800000000002,0.000515,10.1021/acs.jced.6b00606,C1COCCO1,0.2555,0,Solvent,O=C1CCCCCC1,0.7445,0,Solvent
,298.15,100.0,Liquid,2,0.9000800000000002,0.000505,10.1021/acs.jced.6b00606,C1CCOCC1,0.7389,0,Solvent,O=C1CCCCC1,0.2611,0,Solvent
,298.15,100.0,Liquid,2,0.9160300000000002,0.000505,10.1021/acs.jced.6b00606,C1CCOCC1,0.5009,0,Solvent,O=C1CCCCC1,0.4991,0,Solvent
,298.15,100.0,Liquid,2,0.9305900000000004,0.000505,10.1021/acs.jced.6b00606,C1CCOCC1,0.2471,0,Solvent,O=C1CCCCC1,0.7529,0,Solvent
,298.15,101.0,Liquid,2,0.7688300000000002,0.003855,10.1016/j.jct.2005.06.011,CC1CCCCC1,0.799,0,Solvent,CCCO,0.201,0,Solvent
,298.15,101.0,Liquid,2,0.7785600000000001,0.0039,10.1016/j.jct.2005.06.011,CC1CCCCC1,0.5031,0,Solvent,CCCO,0.4969,0,Solvent
,298.15,101.0,Liquid,2,0.7942000000000002,0.00398,10.1016/j.jct.2005.06.011,CC1CCCCC1,0.2027,0,Solvent,CCCO,0.7973,0,Solvent
,298.15,101.0,Liquid,2,0.7701400000000002,0.00386,10.1016/j.jct.2005.06.011,CC1CCCCC1,0.7963,0,Solvent,CCCCO,0.2037,0,Solvent
,298.15,101.0,Liquid,2,0.7808600000000002,0.003915,10.1016/j.jct.2005.06.011,CC1CCCCC1,0.5039,0,Solvent,CCCCO,0.4961,0,Solvent
,298.15,101.0,Liquid,2,0.7956200000000002,0.00399,10.1016/j.jct.2005.06.011,CC1CCCCC1,0.2041,0,Solvent,CCCCO,0.7959,0,Solvent
